title,authors,isbn13,# num_pages,average_rating,ratings_count,text_reviews_count,book_rating_count,book_review_count,clusters
American Psycho,Bret Easton Ellis,9780330484770,399,3.82,835,76,197277,8486,2
American Psycho,Bret Easton Ellis,9780330484770,399,3.82,835,76,197315,8491,2
American Psycho,Bret Easton Ellis,9780330484770,399,3.82,835,76,197324,8491,2
From Russia with Love,Ian Fleming,9780141187600,259,3.89,131,13,24302,972,2
From Russia With Love,Ian Fleming,9780340425626,208,3.89,10,1,24297,970,2
Lunar Park,Bret Easton Ellis,9780375727276,404,3.62,19185,714,20113,932,7
The Burden of Proof,Scott Turow,9780446677127,608,4.06,31413,250,31726,279,4
Godless: The Church of Liberalism,Ann Coulter,9781400054206,310,3.31,2681,350,2836,359,7
Holidays on Ice,David Sedaris,9780316191296,176,3.93,90802,4066,97421,4945,2
Me Talk Pretty One Day,David Sedaris,9780349113913,272,3.98,546269,14115,553694,15934,1
Naked,David Sedaris,9780316777735,304,4.09,216173,5081,216705,5343,6
White Teeth,Zadie Smith,9780140276336,542,3.76,3859,382,101795,6104,2
White Teeth,Zadie Smith,9781417626281,448,3.76,78,11,101795,6104,2
White Teeth,Zadie Smith,9780140297782,542,3.76,1239,140,101795,6104,2
The Da Vinci Code,Dan Brown,9781400079179,489,3.82,13789,1463,1668594,43699,5
Fever Pitch,Nick Hornby,9781573226882,247,3.73,27781,1030,30380,1312,7
High Fidelity,Nick Hornby,9781573228213,323,3.94,802,94,159008,5145,2
About a Boy,Nick Hornby,9780140285673,307,3.8,106510,2124,116559,2969,2
About a Boy,Nick Hornby,9780141007335,278,3.8,790,72,116559,2969,2
The Hottest State,Ethan Hawke,9780006550471,197,3.35,152,21,2992,280,7
Dreamland,Sarah Dessen,9780142401750,250,3.91,68328,3814,69371,4031,2
Dispatches,Michael Herr,9780679735250,260,4.23,12590,752,13736,872,4
Dispatch,Bentley Little,9780451216779,386,3.61,1259,98,1252,95,7
Maximum City: Bombay Lost and Found,Suketu Mehta,9780375703409,542,3.92,8793,629,9168,664,2
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,9780060856267,238,4.33,24052,2344,24781,2340,4
Living to Tell the Tale,Gabriel García Márquez,9780141019420,496,3.98,4702,278,8101,598,2
The Grapes of Wrath,John Steinbeck,9780582461536,597,3.95,36,8,617033,14387,6
The Grapes of Wrath,John Steinbeck,9780582461536,597,3.95,36,8,617150,14397,6
The Grapes of Wrath,John Steinbeck,9780582461536,597,3.95,36,8,617301,14403,6
The Grapes of Wrath,John Steinbeck,9780582461536,597,3.95,36,8,617425,14404,6
The Grapes of Wrath,John Steinbeck,9780582461536,597,3.95,36,8,617463,14405,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,618465,32593,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,618805,32610,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,618939,32615,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,618947,32615,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,618957,32615,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,618965,32616,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,618971,32616,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,619094,32623,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,619098,32624,6
American Gods,Neil Gaiman,9780060010607,635,4.11,1207,167,619103,32624,6
East of Eden,John Steinbeck,9780142000656,601,4.37,358668,14740,367472,16141,6
East of Eden,John Steinbeck,9780142000656,601,4.37,358668,14740,367557,16148,6
East of Eden,John Steinbeck,9780142000656,601,4.37,358668,14740,367608,16150,6
East of Eden,John Steinbeck,9780142000656,601,4.37,358668,14740,367608,16150,6
East of Eden,John Steinbeck,9780142004234,601,4.37,3791,379,367472,16141,6
East of Eden,John Steinbeck,9780142004234,601,4.37,3791,379,367557,16148,6
East of Eden,John Steinbeck,9780142004234,601,4.37,3791,379,367608,16150,6
East of Eden,John Steinbeck,9780142004234,601,4.37,3791,379,367608,16150,6
Sellevision,Augusten Burroughs,9781843543640,229,3.55,175,9,14204,905,7
Dry,Augusten Burroughs,9781843541851,295,4.02,1154,96,77745,3295,2
Running with Scissors,Augusten Burroughs,9781843544852,320,3.71,668,70,322813,11973,7
People of the Lie: The Hope for Healing Human Evil,M. Scott Peck,9780684848594,272,3.98,6001,426,6345,461,2
The Adventures of Sherlock Holmes,Arthur Conan Doyle,9781842055069,189,4.26,2516,123,207674,5624,4
The Adventures of Sherlock Holmes,Arthur Conan Doyle,9781842055069,189,4.26,2516,123,207783,5632,4
The Adventures of Sherlock Holmes,Arthur Conan Doyle,9781842055069,189,4.26,2516,123,207808,5632,4
The Adventures of Sherlock Holmes,Arthur Conan Doyle,9781842055069,189,4.26,2516,123,207821,5633,4
A Prayer for Owen Meany,John Irving,9780679642596,641,4.23,1054,94,262747,12211,4
A Prayer for Owen Meany,John Irving,9780679642596,641,4.23,1054,94,262878,12219,4
A Prayer for Owen Meany,John Irving,9780552135399,637,4.23,246360,10275,262747,12211,6
A Prayer for Owen Meany,John Irving,9780552135399,637,4.23,246360,10275,262878,12219,6
Bridget Jones's Diary,Helen Fielding,9780141000190,271,3.76,2852,278,815063,8763,6
Bridget Jones's Diary,Helen Fielding,9780141000190,271,3.76,2852,278,815418,8768,6
Bridget Jones's Guide to Life,Helen Fielding,9780142000212,64,3.48,1083,30,1101,30,7
A Framework for Understanding Poverty,Ruby K. Payne,9781929229482,199,3.9,3533,510,3955,543,2
Everything Is Illuminated,Jonathan Safran Foer,9780060792176,276,3.9,1754,196,153381,7426,2
Everything Is Illuminated,Jonathan Safran Foer,9780060792176,276,3.9,1754,196,153425,7430,2
Everything Is Illuminated,Jonathan Safran Foer,9780141008257,276,3.9,5070,522,153381,7426,2
Everything Is Illuminated,Jonathan Safran Foer,9780141008257,276,3.9,5070,522,153425,7430,2
Extremely Loud and Incredibly Close,Jonathan Safran Foer,9780618711659,326,3.98,325230,19025,346950,22110,6
Extremely Loud and Incredibly Close,Jonathan Safran Foer,9780618711659,326,3.98,325230,19025,347056,22117,6
Genome: the Autobiography of a Species in 23 Chapters,Matt Ridley,9780060894085,344,4.03,20077,698,21165,831,2
Carter Beats the Devil,Glen David Gold,9780786886326,483,4.09,10792,859,11688,947,4
Catch-22,Joseph Heller,9780099477310,519,3.98,5307,446,639139,15255,6
Catch-22,Joseph Heller,9780099477310,519,3.98,5307,446,639464,15272,6
Catch-22,Joseph Heller,9780099477310,519,3.98,5307,446,639464,15272,6
Pride and Prejudice,Jane Austen,9780140620221,299,4.25,1852,190,2454879,54359,8
Pride and Prejudice,Jane Austen,9780140620221,299,4.25,1852,190,2455055,54361,8
Pride and Prejudice,Jane Austen,9780140620221,299,4.25,1852,190,2455128,54363,8
Pride and Prejudice,Jane Austen,9780140620221,299,4.25,1852,190,2455379,54368,8
Pride and Prejudice,Jane Austen,9780140620221,299,4.25,1852,190,2455518,54371,8
Pride and Prejudice,Jane Austen,9780140620221,299,4.25,1852,190,2455623,54371,8
Pride and Prejudice,Jane Austen,9780140620221,299,4.25,1852,190,2455767,54375,8
To Have and Have Not,Ernest Hemingway,9780684859231,176,3.56,18450,933,21214,1261,7
A Moveable Feast,Ernest Hemingway,9780099285045,192,4.04,78896,4614,99723,6971,2
A Moveable Feast,Ernest Hemingway,9780099285045,192,4.04,78896,4614,99780,6977,2
Islands in the Stream,Ernest Hemingway,9780743253420,448,3.88,10791,446,11765,570,2
The Snows of Kilimanjaro and Other Stories,Ernest Hemingway,9780684862217,144,3.87,24041,685,29583,1171,2
Until I Find You,John Irving,9780552773126,928,3.63,189,33,23139,1498,7
The Fourth Hand,John Irving,9780345463159,368,3.31,24758,944,26208,1053,7
The 158-Pound Marriage,John Irving,9780345417961,176,3.24,11124,275,11773,345,7
The Great Gatsby,F. Scott Fitzgerald,9780140620184,188,3.91,2621,242,3141842,56953,8
The Great Gatsby,F. Scott Fitzgerald,9780140620184,188,3.91,2621,242,3143455,56998,8
The Great Gatsby,F. Scott Fitzgerald,9780140620184,188,3.91,2621,242,3143505,57002,8
The Great Gatsby,F. Scott Fitzgerald,9780140620184,188,3.91,2621,242,3143659,57005,8
The Great Gatsby,F. Scott Fitzgerald,9780140620184,188,3.91,2621,242,3143851,57009,8
The Great Gatsby,F. Scott Fitzgerald,9780140620184,188,3.91,2621,242,3143884,57009,8
One L: The Turbulent True Story of a First Year at Harvard Law School,Scott Turow,9780446673785,288,3.66,5872,441,6330,491,7
The Beautiful and Damned,F. Scott Fitzgerald,9780140180572,368,3.75,110,13,37719,2316,2
The Bookshop,Penelope Fitzgerald,9780006543541,156,3.32,454,76,8256,1380,7
Cannery Row,John Steinbeck,9780142000687,181,4.03,92582,3681,98398,4438,2
Tortilla Flat,John Steinbeck,9780141185118,154,3.83,419,37,37998,2009,2
1421: The Year China Discovered America,Gavin Menzies,9780060540944,650,3.59,11289,860,11852,966,7
Shalimar the Clown,Salman Rushdie,9780679783480,398,3.87,11110,729,11910,850,2
Midnight's Children,Salman Rushdie,9780330267144,463,3.99,335,43,91863,5438,2
Midnight's Children,Salman Rushdie,9780330267144,463,3.99,335,43,91901,5440,2
Midnight's Children,Salman Rushdie,9780330267144,463,3.99,335,43,91905,5440,2
The Satanic Verses,Salman Rushdie,9780670825370,549,3.71,1175,167,46919,3307,7
Fury,Salman Rushdie,9780099421863,272,3.29,6551,342,7732,481,7
Code Complete,Steve McConnell,9780735619678,914,4.29,6734,321,7348,352,4
How to Live on 24 Hours a Day,Arnold Bennett,9781406922905,92,3.66,2477,368,4047,495,7
How to Stop Worrying and Start Living,Dale Carnegie,9780671035976,358,4.11,57572,1382,61333,1721,4
Heart of Darkness,Joseph Conrad,9781892295491,188,3.42,299880,7862,347389,11294,7
Heart of Darkness,Joseph Conrad,9781892295491,188,3.42,299880,7862,347514,11307,7
Heart of Darkness,Joseph Conrad,9781892295491,188,3.42,299880,7862,347565,11312,7
Heart of Darkness,Joseph Conrad,9781580495752,76,3.42,2390,100,347389,11294,7
Heart of Darkness,Joseph Conrad,9781580495752,76,3.42,2390,100,347514,11307,7
Heart of Darkness,Joseph Conrad,9781580495752,76,3.42,2390,100,347565,11312,7
Heart of Darkness,Joseph Conrad,9780141182438,218,3.42,776,65,347389,11294,7
Heart of Darkness,Joseph Conrad,9780141182438,218,3.42,776,65,347514,11307,7
Heart of Darkness,Joseph Conrad,9780141182438,218,3.42,776,65,347565,11312,7
Heart of Darkness,Joseph Conrad,9781592246465,132,3.42,93,11,347389,11294,7
Heart of Darkness,Joseph Conrad,9781592246465,132,3.42,93,11,347514,11307,7
Heart of Darkness,Joseph Conrad,9781592246465,132,3.42,93,11,347565,11312,7
Angela's Ashes,Frank McCourt,9780007718726,224,4.1,705,64,466398,10595,6
Angela's Ashes,Frank McCourt,9780007718726,224,4.1,705,64,466598,10596,6
Angela's Ashes,Frank McCourt,9780007718726,224,4.1,705,64,466731,10598,6
Three Men in a Boat,Jerome K. Jerome,9780141441214,178,3.89,734,120,45108,3608,2
The Very Hungry Caterpillar,Eric Carle,9780399226908,13,4.29,3773,262,338885,6637,4
The Very Hungry Caterpillar,Eric Carle,9780241003008,26,4.29,340101,6313,338885,6637,6
The Hungry Tide,Amitav Ghosh,9780618711666,333,3.94,11220,772,12382,941,2
What Is the What,Dave Eggers,9781932416640,475,4.16,64088,6192,68462,6957,4
A Heartbreaking Work of Staggering Genius,Dave Eggers,9780375725784,485,3.68,154166,8473,157389,8962,7
You Shall Know Our Velocity!,Dave Eggers,9781400033546,401,3.63,25360,1459,26584,1597,7
Year of Wonders,Geraldine Brooks,9780142001431,358,4.01,115677,8261,117158,8670,6
Breakfast of Champions,Kurt Vonnegut,9780385334204,303,4.08,193395,5057,199934,5844,6
Breakfast of Champions,Kurt Vonnegut,9780385334204,303,4.08,193395,5057,200032,5847,6
Slaughterhouse-Five,Kurt Vonnegut,9780385333849,275,4.07,951021,17985,977825,22329,1
The Sirens of Titan,Kurt Vonnegut,9781857988840,224,4.16,85089,2833,95214,3777,4
The Sirens of Titan,Kurt Vonnegut,9781857988840,224,4.16,85089,2833,95263,3779,4
Bagombo Snuff Box,Kurt Vonnegut,9780099282969,295,3.72,7849,222,9060,331,7
Welcome to the Monkey House,Kurt Vonnegut,9780385333504,331,4.14,44749,1438,47091,1642,4
The Red Tent,Anita Diamant,9780312353766,336,4.17,453899,15578,470202,18027,6
The Red Tent,Anita Diamant,9780312353766,336,4.17,453899,15578,470345,18030,6
Saturday,Ian McEwan,9781400076192,289,3.63,50926,3273,53991,3667,7
A Dangerous Fortune,Ken Follett,9780330332651,596,4.03,147,11,28295,1383,2
The Man From St. Petersburg,Ken Follett,9780451208705,320,3.87,15320,617,19469,870,2
Night Over Water,Ken Follett,9780451211477,448,3.81,13965,628,16769,809,2
On Wings of Eagles,Ken Follett,9780451213099,416,3.93,7462,358,9357,455,2
Jackdaws,Ken Follett,9780451219596,416,3.95,20048,898,23523,1082,2
Jackdaws,Ken Follett,9780451207524,496,3.95,352,32,23523,1082,2
The Handmaid's Tale,Margaret Atwood,9780435124090,308,4.09,496,51,944897,51091,5
The Handmaid's Tale,Margaret Atwood,9780435124090,308,4.09,496,51,946479,51174,5
The Handmaid's Tale,Margaret Atwood,9780435124090,308,4.09,496,51,946475,51174,5
The Catcher in the Rye,J.D. Salinger,9780316769174,277,3.8,2318478,42016,2343013,49509,3
The Catcher in the Rye,J.D. Salinger,9780316769174,277,3.8,2318478,42016,2344043,49531,3
The Catcher in the Rye,J.D. Salinger,9780316769174,277,3.8,2318478,42016,2344000,49531,3
The Catcher in the Rye,J.D. Salinger,9780316769174,277,3.8,2318478,42016,2344152,49531,3
The Catcher in the Rye,J.D. Salinger,9780316769174,277,3.8,2318478,42016,2344160,49531,3
Franny and Zooey,J.D. Salinger,9780316769020,201,3.98,162510,4805,171399,5742,2
The Doors of Perception & Heaven and Hell,Aldous Huxley,9780060595180,187,3.94,27716,740,30649,990,2
Island,Aldous Huxley,9780060085490,354,3.85,17583,967,19292,1177,2
The Perennial Philosophy,Aldous Huxley,9780060570583,336,4.23,2959,145,3365,170,4
Point Counter Point,Aldous Huxley,9781564781314,432,3.85,9227,198,9595,274,2
After Many a Summer Dies the Swan,Aldous Huxley,9781566630184,368,3.75,1975,140,2182,165,2
The Flame Trees of Thika: Memories of an African Childhood,Elspeth Huxley,9780141183787,281,4.12,4643,206,4767,234,4
A Separate Peace,John Knowles,9780743253970,208,3.57,169719,5964,173407,6233,7
The Corrections,Jonathan Franzen,9780374701840,662,3.79,161,20,141320,8688,2
Black and Blue,Anna Quindlen,9780385333139,288,3.88,73165,1349,73349,1537,2
A Virtuous Woman,Kaye Gibbons,9780375703065,165,3.68,22632,575,22677,578,7
Here on Earth,Alice Hoffman,9780425169698,336,3.69,41850,1419,42153,1494,7
The Heart Is a Lonely Hunter,Carson McCullers,9780618526413,359,3.97,2594,273,82004,5412,2
The Heart Is a Lonely Hunter,Carson McCullers,9780618526413,359,3.97,2594,273,82038,5413,2
The Heart Is a Lonely Hunter,Carson McCullers,9780618526413,359,3.97,2594,273,82048,5413,2
The Heart Is a Lonely Hunter,Carson McCullers,9780618526413,359,3.97,2594,273,82050,5413,2
Cane River,Lalita Tademy,9780446678452,522,4.05,41627,1807,42859,1943,2
Where the Heart Is,Billie Letts,9780446672214,376,4.01,220846,3320,219231,3399,2
Drowning Ruth,Christina Schwarz,9780345439109,368,3.74,72319,2097,74731,2342,2
Fall on Your Knees,Ann-Marie MacDonald,9780743466523,672,3.96,54468,2392,57167,2793,2
Mother of Pearl,Melinda Haynes,9780671774677,465,3.68,18590,414,18460,429,7
The Rapture of Canaan,Sheri Reynolds,9780425162446,320,3.81,31885,776,31843,799,2
The Book of Ruth,Jane Hamilton,9780385265706,328,3.84,61475,1194,60218,1210,2
Open House,Elizabeth Berg,9780345435163,272,3.7,52515,1544,52057,1554,7
The Pilot's Wife,Anita Shreve,9780316601955,304,3.52,76839,3772,81065,4155,7
Tara Road,Maeve Binchy,9780440235590,648,3.9,64863,1670,67118,1898,2
A Lesson Before Dying,Ernest J. Gaines,9780375702709,256,3.94,45096,2771,45359,2820,2
Paradise,Toni Morrison,9780452280397,318,3.79,18964,731,20251,856,2
One Hundred Years of Solitude,Gabriel García Márquez,9780606300520,458,4.06,43,6,631237,24394,6
She's Come Undone,Wally Lamb,9780671021009,465,3.86,281643,8978,284755,9521,6
We Were the Mulvaneys,Joyce Carol Oates,9780452282827,454,3.72,83736,2476,85333,2733,7
The Good Earth,Pearl S. Buck,9780743272933,357,3.98,3908,485,205238,8937,2
The Good Earth,Pearl S. Buck,9780743272933,357,3.98,3908,485,205311,8940,2
A Fine Balance,Rohinton Mistry,9781400030651,603,4.36,108208,7248,111957,7850,4
White Oleander,Janet Fitch,9780316284950,480,3.95,3031,208,267630,6432,2
White Oleander,Janet Fitch,9780316284950,480,3.95,3031,208,267701,6434,2
Song of Solomon,Toni Morrison,9780452260115,337,4.04,1647,132,70986,2681,2
Song of Solomon,Toni Morrison,9780452260115,337,4.04,1647,132,71036,2682,2
One Hundred Years of Solitude,Gabriel García Márquez,9780606349154,417,4.06,18,1,631237,24394,6
The Bluest Eye,Toni Morrison,9780452282193,216,4,3262,268,131767,5775,2
The Bluest Eye,Toni Morrison,9780452282193,216,4,3262,268,131834,5782,2
The Poisonwood Bible,Barbara Kingsolver,9780060930530,546,4.05,5449,778,595935,21100,6
The Poisonwood Bible,Barbara Kingsolver,9780060930530,546,4.05,5449,778,596241,21117,6
East of Eden,John Steinbeck,9781417704743,608,4.37,67,1,367472,16141,6
East of Eden,John Steinbeck,9781417704743,608,4.37,67,1,367557,16148,6
East of Eden,John Steinbeck,9781417704743,608,4.37,67,1,367608,16150,6
East of Eden,John Steinbeck,9781417704743,608,4.37,67,1,367608,16150,6
Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,9780684848235,304,4.12,1027,35,1062,46,4
Ethan Frome,Edith Wharton,9780142437803,189,3.38,87790,3725,95208,4625,7
Oscar Wilde,Richard Ellmann,9780394759845,736,4.24,2616,111,2933,133,4
An Ideal Husband,Oscar Wilde,9780486414232,78,4.04,32213,843,33461,934,2
Travels with Charley: In Search of America,John Steinbeck,9780142000700,214,4.08,52914,3513,58373,4288,4
Travels with Charley: In Search of America,John Steinbeck,9780142000700,214,4.08,52914,3513,58397,4289,4
The Pearl,John Steinbeck,9780142000694,96,3.45,153111,5853,162907,7031,7
The Pearl,John Steinbeck,9780142000694,96,3.45,153111,5853,163041,7045,7
The Life and Times of Scrooge McDuck,Don Rosa,9780911903966,266,4.66,2336,143,2871,194,4
A Christmas Carol,Charles Dickens,9781580495790,112,4.04,6415,444,501559,13613,6
A Christmas Carol,Charles Dickens,9781580495790,112,4.04,6415,444,501581,13614,6
A Christmas Carol,Charles Dickens,9781580495790,112,4.04,6415,444,501618,13615,6
A Christmas Carol,Charles Dickens,9781580495790,112,4.04,6415,444,501637,13615,6
A Christmas Carol,Charles Dickens,9781580495790,112,4.04,6415,444,501643,13615,6
A Christmas Carol,Charles Dickens,9781580495790,112,4.04,6415,444,501645,13615,6
A Christmas Carol,Charles Dickens,9781580495790,112,4.04,6415,444,501651,13615,6
The Life of Our Lord: Written for His Children During the Years 1846 to 1849,Charles Dickens,9780684865379,128,4,1652,346,1721,358,2
Hard Times,Charles Dickens,9780321107213,353,3.52,39387,1588,46894,2432,7
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,9780385517232,360,3.81,49023,3934,51778,4184,2
The Last Juror,John Grisham,9780385339681,278,3.86,68300,1683,70967,1968,2
Bleachers,John Grisham,9780099468196,229,3.47,30096,1411,33148,1756,7
The Rainmaker,John Grisham,9780385339605,419,3.93,146553,1414,150747,1687,2
The Rainmaker,John Grisham,9780385339605,419,3.93,146553,1414,150794,1688,2
The Partner,John Grisham,9780385339100,416,3.91,93917,1814,98387,2123,2
The Street Lawyer,John Grisham,9780385339094,384,3.83,86911,1717,92314,2119,2
The Summons,John Grisham,9780385339599,384,3.69,56780,1553,60216,1762,7
The Brethren,John Grisham,9780385339674,384,3.73,73858,1446,78029,1658,7
The Chamber,John Grisham,9780385339667,632,3.78,109897,1285,113022,1454,2
The King of Torts,John Grisham,9780385339650,276,3.67,65756,1634,69039,1879,7
Skipping Christmas,John Grisham,9780099481683,198,3.48,44098,3160,49643,3911,7
The Client,John Grisham,9780385339087,483,3.99,351882,1887,349674,2119,2
A Painted House,John Grisham,9780385337939,384,3.69,65551,3246,68956,3651,7
Forever Amber,Kathleen Winsor,9780141009827,972,3.99,14129,831,15498,1013,2
The Stand,Stephen King,9781568495712,1344,4.34,412,33,524033,15652,6
The Stand,Stephen King,9781568495712,1344,4.34,412,33,524093,15656,6
The Stand,Stephen King,9781568495712,1344,4.34,412,33,524203,15660,6
Here I Stand: A Life of Martin Luther,Roland H. Bainton,9780452011465,336,4.08,2638,209,3085,290,4
'Salem's Lot,Stephen King,9780965772419,405,4.01,959,121,274373,7453,2
'Salem's Lot,Stephen King,9780965772419,405,4.01,959,121,274628,7472,2
'Salem's Lot,Stephen King,9780965772419,405,4.01,959,121,274667,7475,2
Carrie / 'Salem's Lot / The Shining,Stephen King,9780517219027,1096,4.53,12320,58,13901,99,4
'Salem's Lot,Stephen King,9780451150653,446,4.01,399,45,274373,7453,2
'Salem's Lot,Stephen King,9780451150653,446,4.01,399,45,274628,7472,2
'Salem's Lot,Stephen King,9780451150653,446,4.01,399,45,274667,7475,2
'Salem's Lot,Stephen King,9780451092311,427,4.01,169,33,274373,7453,2
'Salem's Lot,Stephen King,9780451092311,427,4.01,169,33,274628,7472,2
'Salem's Lot,Stephen King,9780451092311,427,4.01,169,33,274667,7475,2
'Salem's Lot,Stephen King,9780340770535,586,4.01,24,6,274373,7453,2
'Salem's Lot,Stephen King,9780340770535,586,4.01,24,6,274628,7472,2
'Salem's Lot,Stephen King,9780340770535,586,4.01,24,6,274667,7475,2
Interpreter of Maladies,Jhumpa Lahiri,9780618101368,198,4.14,126443,7604,140097,9139,6
Nineteen Eighty-Four,George Orwell,9781421808321,387,4.17,216,18,2422372,53809,8
Nineteen Eighty-Four,George Orwell,9781421808321,387,4.17,216,18,2422748,53817,8
Nineteen Eighty-Four,George Orwell,9781421808321,387,4.17,216,18,2422824,53818,8
Nineteen Eighty-Four,George Orwell,9781421808321,387,4.17,216,18,2423414,53828,8
Nineteen Eighty-Four,George Orwell,9781421808321,387,4.17,216,18,2423429,53828,8
Brave New World,Aldous Huxley,9780060850524,259,3.98,12332,1189,1203529,23422,5
Brave New World,Aldous Huxley,9780060850524,259,3.98,12332,1189,1204140,23439,5
Brave New World,Aldous Huxley,9780060850524,259,3.98,12332,1189,1204170,23438,5
Brave New World,Aldous Huxley,9780060850524,259,3.98,12332,1189,1204335,23445,5
Brave New World,Aldous Huxley,9780060850524,259,3.98,12332,1189,1204363,23446,5
Andrew Carnegie,David Nasaw,9781594201042,896,3.97,2325,192,2363,199,2
Dear John,Nicholas Sparks,9780446528054,276,4.03,485405,9539,490385,11002,6
All the King's Men,Robert Penn Warren,9780156004800,439,4.09,45975,1655,49563,2134,4
All the King's Men,Robert Penn Warren,9780156004800,439,4.09,45975,1655,49582,2135,4
What Do You Care What Other People Think?,Richard Feynman,9780393320923,256,4.27,15646,556,18662,767,4
QED: The Strange Theory of Light and Matter,Richard Feynman,9780691024172,158,4.24,12904,304,13617,407,4
Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher,Richard Feynman,9780465023929,138,4.2,14451,396,15416,513,4
Cradle and All,James Patterson,9780446609401,384,3.86,27261,826,29058,1022,2
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,9780142003343,528,4.08,17851,679,18330,754,4
How the Mind Works,Steven Pinker,9780140244915,660,3.97,225,16,16093,480,2
The Language Instinct: How the Mind Creates Language,Steven Pinker,9780060958336,448,4.05,14293,658,15630,801,2
Fight Club,Chuck Palahniuk,9780393327342,218,4.2,384407,9618,423710,12321,6
Fight Club,Chuck Palahniuk,9780393327342,218,4.2,384407,9618,423845,12323,6
Fight Club,Chuck Palahniuk,9780393327342,218,4.2,384407,9618,423943,12326,6
Fight Club,Chuck Palahniuk,9780393327342,218,4.2,384407,9618,423991,12329,6
Fight Club,Chuck Palahniuk,9780393327342,218,4.2,384407,9618,424001,12332,6
Casino Royale,Ian Fleming,9780141187587,181,3.74,350,41,52693,3506,7
Bel Canto,Ann Patchett,9780060838720,352,3.93,211515,12546,216410,13260,6
A Bend in the River,V.S. Naipaul,9780330487146,326,3.77,12714,654,13731,784,2
The Middle Passage,V.S. Naipaul,9780375708343,256,3.59,429,34,454,36,7
A House for Mr Biswas,V.S. Naipaul,9780330487191,623,3.82,14782,613,15959,765,2
Half a Life,V.S. Naipaul,9780375707285,224,3.24,2945,288,3275,330,7
The Ghost Road,Pat Barker,9780140236286,278,4.11,236,20,13633,469,4
The Hobbit or There and Back Again,J.R.R. Tolkien,9780618260300,366,4.26,2364968,31664,2424448,41383,3
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2422848,41354,8
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2423646,41369,8
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2423764,41369,8
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2423922,41372,8
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2423949,41373,8
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2423960,41373,8
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2424107,41375,8
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2424176,41379,8
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2424307,41380,8
The Hobbit,J.R.R. Tolkien,9780261103283,277,4.26,3158,325,2424474,41383,8
Love,Pablo Neruda,9780786881482,43,4.46,1305,69,1407,88,4
Anil's Ghost,Michael Ondaatje,9780375724374,311,3.56,12507,968,13771,1135,7
The Collected Works of Billy the Kid,Michael Ondaatje,9780747572602,105,3.99,2764,200,3270,270,2
Running In The Family,Michael Ondaatje,9780330281720,207,3.84,123,16,6668,565,2
The Fall of a Sparrow,Robert Hellenga,9780684850276,464,3.69,799,86,852,93,7
Tropic of Cancer,Henry Miller,9780007204465,336,3.69,709,87,54338,2802,7
Juniper,Monica Furlong,9780394832203,198,4.16,111,7,8553,180,4
The Road Back,Erich Maria Remarque,9781931541749,352,4.31,2938,86,3643,134,4
Achilles in Vietnam: Combat Trauma and the Undoing of Character,Jonathan Shay,9780684813219,272,4.24,1057,102,1077,101,4
The Moonstone,Wilkie Collins,9780140620139,464,3.91,348,44,64765,3762,2
Beloved,Toni Morrison,9781400033416,324,3.81,263625,7840,268589,8835,2
Come Away My Beloved,Frances J. Roberts,9781593109158,192,4.58,7,0,616,60,4
Reservation Blues,Sherman Alexie,9780802141903,306,3.98,10879,755,11689,845,2
All the Pretty Horses,Cormac McCarthy,9780739412534,302,3.98,663,88,81489,5287,2
The Drowned and the Saved,Primo Levi,9780349100470,170,4.39,3319,145,4482,246,4
Wuthering Heights,Emily Brontë,9780140620122,279,3.84,2101,175,1121448,29412,5
Disgrace,J.M. Coetzee,9780143036371,220,3.84,58351,3742,70616,5129,2
Disgrace,J.M. Coetzee,9780143036371,220,3.84,58351,3742,70664,5135,2
Disgrace,J.M. Coetzee,9780143036371,220,3.84,58351,3742,70686,5139,2
Waiting for the Barbarians,J.M. Coetzee,9780140283358,152,3.93,17232,974,20988,1461,2
An Imaginary Life,David Malouf,9780099273844,156,3.87,1469,136,1642,166,2
